column,action,n_null_before,n_null_after,note,reason,n_null
rublər,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
gdp,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
dovlət_gəlirləri,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
dovlət_xərcləri,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
əhalinin_nominal_gəlirləri,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
əhalinin_banklardakı_əmanətləri,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
orta_aylıq_əməkhaqqı,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
xarici_ticarət_dovriyyəsi,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
ixrac,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
idxal,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
pul_bazası,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
oil_price,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
istehlak_xərcləri,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
mənzil_qiymətləri,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
nagd_pul_kredit_satısı,left_missing,,,,candidate target - requires manual review,4.0
mustərilərə_verilmis_kreditlər,left_missing,,,,candidate target - requires manual review,4.0
npls,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
roa,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
roe,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
net_interest_margin,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
efficiency_ratio,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
loan_to_deposit_ratio,left_missing,,,,candidate target - requires manual review,4.0
mustəri_sayı,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
ucot_faiz_dərəcəsi,interpolated_linear_flagged,4.0,0.0,multiple gaps - review recommended,,
