Rüblər,Year,Quarter,Time_Index,Nağd_pul_kredit_satışı,GDP,Dövlət_Gəlirləri,Dövlət_Xərcləri,Əhalinin_nominal_gəlirləri,Əhalinin_banklardakı_əmanətləri,Orta_aylıq_əməkhaqqı,Xarici_ticarət_dövriyyəsi,İxrac,İdxal,Pul_bazası,Oil_Price,Tikinti-quraşdırma_işlərinə_sərf_edilmiş_vəsait,İstehlak_xərcləri,Yaşayış_evlərinin_tikintisinə_yönəldilmiş_investisiyalar,Mənzil_qiymətləri,Portfel,NPLs,ROA,ROE,Net_Interest_Margin,Efficiency_Ratio,Loan-to-Deposit_Ratio,Müştəri_sayı,Uçot_faiz_dərəcəsi
2020 I,2020,1,0,46642.84149,17928100.0,7810900.0,5254800.0,13442500.0,8251700.000000001,0.7445,11382010.0,6899110.000000001,4482900.0,10066900.0,8.5748,1963955.7000000004,0.31892,288706.6,1.2239364548641831,359233.76244,25.853673930000003,0.4617578529628053,2.968747836495729,2.4342576471346007,76.90097062167015,130.6891253721413,25304.0,7.249999999999999
2020 II ,2020,2,1,15709.38447,16450599.999999998,4211800.000000001,6475999.999999999,13935300.0,7706400.0,0.72,8593330.0,4594079.999999999,3999250.0,11251800.0,4.988366666666667,2030799.3000000005,0.2865899999999999,337427.20000000007,1.2235692739277242,349405.74088,37.21127755,1.4253847789780685,7.770286453946426,2.654719751208918,71.419429090324,131.64389947378058,16316.0,7.000000000000001
2020 III,2020,3,2,51257.54776999999,17965600.000000007,5941799.999999999,6911299.999999999,14231200.0,7834300.0,0.7066,10336169.999999996,5518369.999999999,4817800.0,12230100.0,7.303766666666666,2206427.100000001,0.2949,316308.8,1.2234469170003317,366496.28305,37.87129843,2.184750934813576,11.813248607322183,2.72856406284321,71.32890742379489,135.49482664887796,32598.0,6.5
2020 IV,2020,4,3,26391.99772,20233800.000000004,6708599.999999998,7775000.0,14117099.999999998,8177900.0,0.7072999999999999,10830359.999999998,5888120.000000001,4942240.000000001,13564200.0,7.5293,3152893.000000002,0.29778,424897.4,1.2235692616920315,337946.33647,26.70403934,3.094270099955753,16.588028263528045,2.626729965385414,73.6585366017035,123.69777699073776,28564.0,6.25
2021 I,2021,1,4,53293.77411,19181900.0,5736400.0,5523700.0,13455900.0,8147500.0,0.7132000000000001,11962560.0,7660710.0,4301849.999999999,13315000.0,10.339399999999998,1490116.6999999995,0.3082,205773.4,1.2474288622950265,355393.13544000004,39.60683428,0.9507776492201016,5.080283717090254,2.58827469443373,71.08418105950088,125.43052627744366,39842.0,6.25
2021 II,2021,2,5,74915.81485,21581800.0,6018600.0,6066800.0,14124800.000000002,8435400.0,0.7243999999999999,12942949.999999998,8079760.0,4863190.0,13803000.0,11.701666666666666,2537314.000000001,0.29073,262768.6,1.2582814933969932,389933.88746,42.22305931000001,2.008638762240935,10.836242413491572,2.773291132082601,67.89003499816731,132.2832269564644,49708.0,6.25
2021 III,2021,3,6,71351.55851,23125300.000000004,6116599.999999998,6121400.000000002,14670999.999999996,8838100.0,0.7232000000000001,14473460.0,9452850.0,5020610.000000001,14498700.0,12.4899,2639269.700000001,0.30229,258691.1,1.2858378581023873,409561.79125,41.38270958,3.3952510439768413,17.831730686197005,2.9504871727184168,66.70927293348451,131.39489680721417,48616.0,6.5
2021 IV,2021,4,7,78919.64358000002,29314200.0,8547500.0,9700099.999999998,14929800.000000004,9241500.0,0.7321,21066910.000000004,15352699.999999996,5714209.999999998,17937600.0,13.529733333333333,3720371.7,0.3085799999999999,311437.80000000005,1.2902097068199354,413861.28816000005,13.569919370924982,4.635290564968185,24.40877778986317,3.2116449491995054,68.15215460047969,139.37626798039403,53615.0,7.125000000000001
2022 I,2022,1,8,72867.70682,30037000.0,7009600.0,5629500.0,16000500.0,10372000.0,0.809,20730140.0,15754070.0,4976070.0,14359600.0,17.050433333333334,1670214.9,0.31061938684,172795.1,1.3065953700965485,433990.71885,15.813584080000007,1.883687332855961,9.479219031089077,3.2026120578988087,62.262316146101405,146.38704655653424,50605.0,7.250000000000001
2022 II,2022,2,9,104410.82053,33327400.0,7195900.0,7307100.0,16959199.999999996,10596200.0,0.8271000000000001,23275380.0,17444549.999999996,5830830.0,15652800.0,19.302366666666664,2474698.0,0.316958558,214302.8,1.3213598977786396,484832.63923999993,16.162045369999998,3.1908204286350217,17.8107173289735,3.279213206348228,60.06153302609915,150.77131054363326,61665.0,7.5
